SNOMED code	SNOMED descriptor	ICD-O code	topography	filter_code
245890005	C1/C2 intertransverse ligament	C49.0	top	0_0_0_8_0
245891009	C2/C3 intertransverse ligament	C49.0	top	0_0_0_8_0
245892002	C3/C4 intertransverse ligament	C49.0	top	0_0_0_8_0
245893007	C4/C5 intertransverse ligament	C49.0	top	0_0_0_8_0
245894001	C5/C6 intertransverse ligament	C49.0	top	0_0_0_8_0
245895000	C6/C7 intertransverse ligament	C49.0	top	0_0_0_8_0
245896004	T1/T2 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245897008	T2/T3 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245898003	T3/T4 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245899006	T4/T5 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245900001	T5/T6 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245901002	T6/T7 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245902009	T7/T8 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245903004	T8/T9 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245904005	T9/T10 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245905006	T10/T11 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245906007	T11/T12 intertransverse ligament	C41.2	top	0_0_0_3_1_2
245907003	L1/L2 intertransverse ligament	C49.0	top	0_0_0_8_0
245908008	L2/L3 intertransverse ligament	C49.0	top	0_0_0_8_0
245909000	L3/L4 intertransverse ligament	C49.0	top	0_0_0_8_0
245910005	L4/L5 intertransverse ligament	C49.0	top	0_0_0_8_0
245912002	Intertransverse ligament between region of vertebral column	C49.0	top	0_0_0_8_0
245913007	Cervicothoracic intertransverse ligament	C49.0	top	0_0_0_8_0
245914001	T12/L1 intertransverse ligament	C49.0	top	0_0_0_8_0
245915000	L5/S1 intertransverse ligament	C49.0	top	0_0_0_8_0
245916004	Intraregional part of anterior longitudinal ligament	C49.0	top	0_0_0_8_0
245917008	Sacral region of anterior longitudinal ligament	C76.3	top	0_0_0_15_3
245918003	Inter-regional part of anterior longitudinal ligament	C49.0	top	0_0_0_8_0
245919006	Cervicothoracic part of anterior longitudinal ligament	C49.0	top	0_0_0_8_0
245920000	Thoracolumbar part of anterior longitudinal ligament	C49.0	top	0_0_0_8_0
245921001	Lumbosacral part of anterior longitudinal ligament	C49.6	top	0_0_0_8_6
245922008	Intraregional part of posterior longitudinal ligament	C49.0	top	0_0_0_8_0
245923003	Sacral region of posterior longitudinal ligament	C76.3	top	0_0_0_15_3
245924009	Inter-regional part of posterior longitudinal ligament	C49.0	top	0_0_0_8_0
245925005	Cervicothoracic part of posterior longitudinal ligament	C49.0	top	0_0_0_8_0
245926006	Thoracolumbar part of posterior longitudinal ligament	C49.0	top	0_0_0_8_0
245927002	Lumbosacral part of posterior longitudinal ligament	C49.6	top	0_0_0_8_6
245928007	Patellar retinaculum	C49.2	top	0_0_0_8_2
245929004	Entire lateral patellar retinaculum	C49.2	top	0_0_0_8_2
245930009	Entire medial patellar retinaculum	C49.2	top	0_0_0_8_2
245931008	Coronary ligament of knee joint	C49.2	top	0_0_0_8_2
245932001	Medial coronary ligament of knee joint	C49.2	top	0_0_0_8_2
245933006	Lateral coronary ligament of knee joint	C49.2	top	0_0_0_8_2
245934000	Entire cruciate ligament of knee joint	C49.2	top	0_0_0_8_2
245935004	Collateral ligament of knee joint	C49.2	top	0_0_0_8_2
245936003	Expansion from tendon of semitendinosus	C49.2	top	0_0_0_8_2
245937007	Expansion from tendon of sartorius	C49.2	top	0_0_0_8_2
245938002	Entire meniscofemoral ligament	C49.2	top	0_0_0_8_2
245939005	Entire anterior meniscofemoral ligament	C49.2	top	0_0_0_8_2
245940007	Entire posterior meniscofemoral ligament	C49.2	top	0_0_0_8_2
245941006	Apex of iliofemoral ligament	C49.2	top	0_0_0_8_2
245942004	Base of iliofemoral ligament	C49.2	top	0_0_0_8_2
245943009	Stem of iliofemoral ligament	C49.2	top	0_0_0_8_2
245944003	Iliotrochanteric ligament	C49.2	top	0_0_0_8_2
245945002	Medial band of iliofemoral ligament	C49.2	top	0_0_0_8_2
245946001	Lower limb of iliofemoral ligament	C49.2	top	0_0_0_8_2
245947005	Entire skin of eyelid	C44.1	top	0_0_0_5_1
245948000	Entire skin of upper eyelid	C44.1	top	0_0_0_5_1
245949008	Entire skin of lower eyelid	C44.1	top	0_0_0_5_1
245951007	T1/T2 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245952000	T2/T3 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245953005	T3/T4 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245954004	T4/T5 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245955003	T5/T6 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245956002	T6/T7 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245957006	T7/T8 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245958001	T8/T9 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245959009	T9/T10 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245960004	T10/T11 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245961000	T11/T12 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245962007	L1/L2 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245963002	L2/L3 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245964008	L3/L4 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245965009	L4/L5 part of supraspinous ligament	C49.6	top	0_0_0_8_6
245966005	Interspinous ligament within region of vertebral column	C49.6	top	0_0_0_8_6
245967001	C1/C2 interspinous ligament	C49.6	top	0_0_0_8_6
245968006	C2/C3 interspinous ligament	C49.6	top	0_0_0_8_6
245969003	C3/C4 interspinous ligament	C49.6	top	0_0_0_8_6
245970002	C4/C5 interspinous ligament	C49.6	top	0_0_0_8_6
245971003	C5/C6 interspinous ligament	C49.6	top	0_0_0_8_6
245972005	C6/C7 interspinous ligament	C49.6	top	0_0_0_8_6
245973000	T1/T2 interspinous ligament	C49.6	top	0_0_0_8_6
245974006	T2/T3 interspinous ligament	C49.6	top	0_0_0_8_6
245975007	T3/T4 interspinous ligament	C49.6	top	0_0_0_8_6
245976008	T4/T5 interspinous ligament	C49.6	top	0_0_0_8_6
245977004	T5/T6 interspinous ligament	C49.6	top	0_0_0_8_6
245978009	T6/T7 interspinous ligament	C49.6	top	0_0_0_8_6
245979001	T7/T8 interspinous ligament	C49.6	top	0_0_0_8_6
245980003	T8/T9 interspinous ligament	C49.6	top	0_0_0_8_6
245981004	T9/T10 interspinous ligament	C49.6	top	0_0_0_8_6
245982006	T10/T11 interspinous ligament	C49.6	top	0_0_0_8_6
245984007	T11/T12 interspinous ligament	C49.6	top	0_0_0_8_6
245985008	L1/L2 interspinous ligament	C41.2	top	0_0_0_3_1_2
245986009	L2/L3 interspinous ligament	C41.2	top	0_0_0_3_1_2
245987000	L3/L4 interspinous ligament	C41.2	top	0_0_0_3_1_2
245988005	L4/L5 interspinous ligament	C41.2	top	0_0_0_3_1_2
245989002	Interspinous ligament between regions of vertebral column	C49.6	top	0_0_0_8_6
245990006	C7/T1 interspinous ligament	C49.6	top	0_0_0_8_6
245991005	T12/L1 interspinous ligament	C49.6	top	0_0_0_8_6
245992003	L5/S1 interspinous ligament	C49.6	top	0_0_0_8_6
245994002	Entire rectus capitis posterior major	C49.0	top	0_0_0_8_0
245995001	Entire rectus capitis posterior minor	C49.0	top	0_0_0_8_0
245996000	Entire obliquus capitis muscle	C49.0	top	0_0_0_8_0
245997009	Entire obliquus capitis superior	C49.0	top	0_0_0_8_0
245999007	Entire thoracic rotator	C49.6	top	0_0_0_8_6
246000009	T1-T2 rotator thoracis	C49.6	top	0_0_0_8_6
246001008	T2-T3 rotator thoracis	C49.6	top	0_0_0_8_6
246002001	T3-T4 rotator thoracis	C49.6	top	0_0_0_8_6
246003006	T4-T5 rotator thoracis	C49.6	top	0_0_0_8_6
246004000	T5-T6 rotator thoracis	C49.6	top	0_0_0_8_6
246005004	T6-T7 rotator thoracis	C49.6	top	0_0_0_8_6
246006003	T7-T8 rotator thoracis	C49.6	top	0_0_0_8_6
246007007	T8-T9 rotator thoracis	C49.6	top	0_0_0_8_6
246008002	Ninth rotator thoracis	C49.6	top	0_0_0_8_6
246009005	Tenth rotator thoracis	C49.6	top	0_0_0_8_6
246010000	T11-T12 rotator thoracis	C49.6	top	0_0_0_8_6
246011001	Interspinalis cervicis	C49.6	top	0_0_0_8_6
246012008	C2-C3 interspinalis cervicis	C49.6	top	0_0_0_8_6
246013003	C3-C4 interspinalis cervicis	C49.6	top	0_0_0_8_6
246014009	C4-C5 interspinalis cervicis	C49.6	top	0_0_0_8_6
246015005	C5-C6 interspinalis cervicis	C49.6	top	0_0_0_8_6
246016006	C6-C7 interspinalis cervicis	C49.6	top	0_0_0_8_6
246017002	C7-T1 interspinalis cervicis	C49.6	top	0_0_0_8_6
246018007	T1-T2 interspinalis thoracis	C49.6	top	0_0_0_8_6
246019004	T2-T3 interspinalis thoracis	C49.6	top	0_0_0_8_6
246020005	Third interspinalis thoracis	C49.6	top	0_0_0_8_6
246021009	Entire interspinalis lumborum	C49.6	top	0_0_0_8_6
246022002	L1-L2 interspinalis lumborum	C49.6	top	0_0_0_8_6
246023007	L2-L3 interspinalis lumborum	C49.6	top	0_0_0_8_6
246024001	L3-L4 interspinalis lumborum	C49.6	top	0_0_0_8_6
246025000	L4-L5 interspinalis lumborum	C49.6	top	0_0_0_8_6
246026004	Entire intertransversarius cervicis	C49.6	top	0_0_0_8_6
246027008	Entire intertransversarius cervicis anterior	C49.6	top	0_0_0_8_6
246028003	Entire C1-C2 intertransversarius cervicis anterior	C49.6	top	0_0_0_8_6
246029006	Entire C2-C3 intertransversarius cervicis anterior	C49.6	top	0_0_0_8_6
246030001	Entire C3-C4 intertransversarius cervicis anterior	C49.6	top	0_0_0_8_6
246031002	Entire C4-C5 intertransversarius cervicis anterior	C49.6	top	0_0_0_8_6
246032009	Entire C5-C6 intertransversarius cervicis anterior	C49.6	top	0_0_0_8_6
246033004	Entire C6-C7 intertransversarius cervicis anterior	C49.6	top	0_0_0_8_6
246034005	Entire C7-T1 intertransversarius cervicis anterior	C49.6	top	0_0_0_8_6
246035006	Entire intertransversarius cervicis posterior	C49.6	top	0_0_0_8_6
246036007	Entire C1-C2 intertransversarius cervicis posterior	C49.6	top	0_0_0_8_6
246037003	Entire C2-C3 intertransversarius cervicis posterior	C49.6	top	0_0_0_8_6
246038008	Entire C3-C4 intertransversarius cervicis posterior	C49.6	top	0_0_0_8_6
246039000	Entire C4-C5 intertransversarius cervicis posterior	C49.6	top	0_0_0_8_6
246040003	Entire C5-C6 intertransversarius cervicis posterior	C49.6	top	0_0_0_8_6
246041004	Entire C6-C7 intertransversarius cervicis posterior	C49.6	top	0_0_0_8_6
246042006	Entire C7-T1 intertransversarius cervicis posterior	C49.6	top	0_0_0_8_6
246043001	Entire intertransversarius thoracis	C49.6	top	0_0_0_8_6
246044007	Entire first intertransversarius thoracis	C49.6	top	0_0_0_8_6
246045008	Entire second intertransversarius thoracis	C49.6	top	0_0_0_8_6
246046009	Entire thoracolumbar intertransversarius	C49.6	top	0_0_0_8_6
246047000	Entire intertransversarius lumborum	C49.6	top	0_0_0_8_6
246048005	Entire intertransversarius medialis	C49.6	top	0_0_0_8_6
246049002	Entire L1-L2 intertransversarius lumborum medialis	C49.6	top	0_0_0_8_6
246050002	Entire L2-L3 intertransversarius lumborum medialis	C49.6	top	0_0_0_8_6
246051003	Entire L3-L4 intertransversarius lumborum medialis	C49.6	top	0_0_0_8_6
246052005	Entire L4-L5 intertransversarius lumborum medialis	C49.6	top	0_0_0_8_6
246053000	Entire intertransversarius lateralis	C49.6	top	0_0_0_8_6
246054006	Entire L1-L2 intertransversarius lumborum lateralis	C49.6	top	0_0_0_8_6
246055007	Entire L2-L3 intertransversarius lumborum lateralis	C49.6	top	0_0_0_8_6
246056008	Entire L3-L4 intertransversarius lumborum lateralis	C49.6	top	0_0_0_8_6
246057004	Entire L4-L5 intertransversarius lumborum lateralis	C49.6	top	0_0_0_8_6
246058009	Sacrococcygeal muscle	C76.3	top	0_0_0_15_3
246059001	Entire dorsal sacrococcygeus	C49.5	top	0_0_0_8_5
246060006	Entire ventral sacrococcygeus	C49.5	top	0_0_0_8_5
246081006	Straight venule of renal medulla	C49.9	top	0_0_0_8_8
246180009	Superior renal segment	C64.9	top	0_0_0_12_0_0
246279002	Anterior superior renal segment	C64.9	top	0_0_0_12_0_0
246377003	Inferior renal segment	C64.9	top	0_0_0_12_0_0
246473003	Anterior inferior renal segment	C64.9	top	0_0_0_12_0_0
246555003	Posterior renal segment	C64.9	top	0_0_0_12_0_0
246629007	Entire renal pelvic cavity	C65.9	top	0_0_0_12_1_0
246715002	Entire retropancreatic tissue	C48.0	top	0_0_0_7_0
246805003	Entire perirenal fascia	C48.0	top	0_0_0_7_0
246901006	Entire perirenal fat	C48.0	top	0_0_0_7_0
246996008	Entire periadrenal tissue	C48.0	top	0_0_0_7_0
247084009	Entire pancreatic incisura	C25.0	top	0_0_0_1_10_0
247175007	Entire anterior margin of pancreas	C25.7	top	0_0_0_1_10_5
247273006	Entire interlobar duct of pancreas	C25.3	top	0_0_0_1_10_3
247357002	Entire interlobular duct of pancreas	C25.3	top	0_0_0_1_10_3
247432008	Entire intralobular duct of pancreas	C25.3	top	0_0_0_1_10_3
247520007	Entire intercalated duct of pancreas	C25.3	top	0_0_0_1_10_3
247604006	Entire pancreatic acinus	C25.3	top	0_0_0_1_10_3
247685009	Entire pancreatic interstitial tissue	C25.9	top	0_0_0_1_10_7
247770008	Entire alpha cell of islet	C75.9	top	0_0_0_14_2_7
247867004	Entire beta cell of islet	C75.9	top	0_0_0_14_2_7
247952004	Entire delta cell of islet	C75.9	top	0_0_0_14_2_7
248115002	Entire intrapancreatic portion of common bile duct	C24.0	top	0_0_0_1_9_0
248202004	Entire exocrine pancreas	C25.9	top	0_0_0_1_10_7
248285000	Entire sphincter choledochus	C24.0	top	0_0_0_1_9_0
248377006	Entire sphincter pancreaticus	C25.3	top	0_0_0_1_10_3
248460007	Entire pancreatic branch of splenic artery	C49.4	top	0_0_0_8_4
248547004	Pancreaticoduodenal vein	C49.4	top	0_0_0_8_4
248620003	Entire retroileal space	C76.2	top	0_0_0_15_2
248700006	Entire lymphatic of adrenal gland	C49.4	top	0_0_0_8_4
248792009	Left adrenal vein	C49.4	top	0_0_0_8_4
248889002	Right adrenal vein	C49.4	top	0_0_0_8_4
248930005	Surface of uterine cervix	C53.9	top	0_0_0_10_2_3
248984008	Entire central vein of adrenal gland	C49.4	top	0_0_0_8_4
249072001	Entire adrenal capsule	C74.9	top	0_0_0_14_1_2
249138006	Entire fetal provisional adrenal cortex	C74.0	top	0_0_0_14_1_0
249234002	Entire corticomedullary junction of adrenal gland	C74.9	top	0_0_0_14_1_2
249332001	Entire hilum of adrenal gland	C74.9	top	0_0_0_14_1_2
249426005	Entire superior margin of adrenal gland	C74.9	top	0_0_0_14_1_2
249518004	Entire medial margin of adrenal gland	C74.9	top	0_0_0_14_1_2
249613000	Entire retroperitoneal lymph node	C77.2	top	0_0_0_16_2
249708006	Renal hilar lymph node	C77.2	top	0_0_0_16_2
249806003	Entire vesicouterine pouch	C48.1	top	0_0_0_7_1
249904004	Entire paravesical fossa	C48.1	top	0_0_0_7_1
249996009	Entire pararectal fossa	C48.1	top	0_0_0_7_1
250172001	Entire mesometrium	C57.1	top	0_0_0_10_6_1
250355001	Entire body of urinary bladder	C67.9	top	0_0_0_12_3_9
250438004	Entire urinary bladder muscular sphincter	C67.9	top	0_0_0_12_3_9
250539009	Internal sphincter of urinary bladder	C67.9	top	0_0_0_12_3_9
250639000	External sphincter of urinary bladder	C67.9	top	0_0_0_12_3_9
250737008	Entire interstitial tissue of urinary bladder	C67.9	top	0_0_0_12_3_9
250834008	Entire supporting tissue of urinary bladder	C49.5	top	0_0_0_8_5
250930003	Right wall of urinary bladder	C67.2	top	0_0_0_12_3_2
251028007	Left wall of urinary bladder	C67.2	top	0_0_0_12_3_2
251103002	Anteroseptal accessory pathway	C38.0	top	0_0_0_2_6_0
251104008	Right atrial free wall pathway	C38.0	top	0_0_0_2_6_0
251105009	Right posteroseptal accessory pathway	C38.0	top	0_0_0_2_6_0
251106005	Intermediate posteroseptal accessory pathway	C38.0	top	0_0_0_2_6_0
251107001	Left posteroseptal accessory pathway	C38.0	top	0_0_0_2_6_0
251108006	Left atrial free wall pathway	C38.0	top	0_0_0_2_6_0
251121004	Right ureteral orifice	C67.6	top	0_0_0_12_3_6
251201007	Left ureteral orifice	C67.6	top	0_0_0_12_3_6
251302002	Entire rectovesical septum	C76.3	top	0_0_0_15_3
251398007	Entire prostatic glandular tissue	C61.9	top	0_0_0_11_1_0
251498008	Entire prostatic muscle	C61.9	top	0_0_0_11_1_0
251597001	Right lobe of prostate	C76.7	top	0_0_0_15_6
251695000	Left lobe of prostate	C76.7	top	0_0_0_15_6
251792005	Entire puboprostatic muscle	C61.9	top	0_0_0_11_1_0
251887001	Entire right vas deferens	C63.1	top	0_0_0_11_3_1
251978006	Entire left vas deferens	C63.1	top	0_0_0_11_3_1
252078006	Entire right seminal vesicle	C63.7	top	0_0_0_11_3_3
252166005	Entire left seminal vesicle	C63.7	top	0_0_0_11_3_3
252260007	Entire mucosa of seminal vesicle	C63.7	top	0_0_0_11_3_3
252333002	Entire muscularis of seminal vesicle	C63.7	top	0_0_0_11_3_3
252406002	Entire adventitia of seminal vesicle	C63.7	top	0_0_0_11_3_3
252492006	Entire perivesicular tissues of seminal vesicles	C63.7	top	0_0_0_11_3_3
252571009	Right lateral fornix	C52.9	top	0_0_0_10_1_0
252667002	Left lateral fornix	C52.9	top	0_0_0_10_1_0
252751003	Entire vaginal rugae	C52.9	top	0_0_0_10_1_0
252845000	Entire rugal column	C52.9	top	0_0_0_10_1_0
252941005	Posterior rugal column	C52.9	top	0_0_0_10_1_0
253019002	Entire vaginal urethral carina	C52.9	top	0_0_0_10_1_0
253026002	Adenocarcinoma with metaplasia	8140/3	hist	0_0_1_5_3
253051001	Benign Brenner tumor	9000/0	hist	0_0_1_22_0
253057002	Benign lymphangioma	9170/0	hist	0_0_1_29_0
253067007	Cellular ependymoma	9391/3	hist	0_0_1_35_10
253068002	Clear cell ependymoma	9391/3	hist	0_0_1_35_10
253069005	Entire vaginal muscularis	C52.9	top	0_0_0_10_1_0
253071005	Mixed oligoastrocytoma	9382/3	hist	0_0_1_35_2
253072003	Anaplastic oligoastrocytoma	9382/3	hist	0_0_1_35_2
253075001	Sympathogonioma	9500/3	hist	0_0_1_36_5
253081009	Secretory meningioma	9530/0	hist	0_0_1_37_0
253083007	Lymphoplasmocyte-rich meningioma	9530/0	hist	0_0_1_37_0
253084001	Microcystic meningioma	9530/0	hist	0_0_1_37_0
253085000	Solitary neurofibroma	9540/0	hist	0_0_1_38_0
253086004	Cellular schwannoma	9560/0	hist	0_0_1_38_5
253087008	Plexiform schwannoma	9560/0	hist	0_0_1_38_5
253088003	Melanotic schwannoma	9560/1	hist	0_0_1_38_6
253091003	Solitary circumscribed neuroma	9570/0	hist	0_0_1_38_10
253092005	Malignant schwannoma with divergent mesenchymal differentiation	9540/3	hist	0_0_1_38_1
253093000	Epithelioid MPNST	9540/3	hist	0_0_1_38_1
253094006	Melanotic malignant peripheral nerve sheath tumor	9540/3	hist	0_0_1_38_1
253155007	Entire vaginal canal	C52.9	top	0_0_0_10_1_0
253245001	Entire lymphatic of uterus	C49.5	top	0_0_0_8_5
253332003	Entire intestinal surface of uterus	C55.9	top	0_0_0_10_4_0
253424005	Entire vesical surface of uterus	C55.9	top	0_0_0_10_4_0
253526009	Entire endometrial surface epithelium	C54.1	top	0_0_0_10_3_1
253618006	Entire endometrial zona basalis	C54.1	top	0_0_0_10_3_1
253684002	Entire arterial duct	C49.9	top	0_0_0_8_8
253705006	Entire perimetrium	C55.9	top	0_0_0_10_4_0
253788005	Entire margin of uterus	C55.9	top	0_0_0_10_4_0
253871009	Right margin of uterus	C55.9	top	0_0_0_10_4_0
253951004	Left margin of uterus	C55.9	top	0_0_0_10_4_0
254115004	Entire endometrial stroma	C54.1	top	0_0_0_10_3_1
254198003	Lymph nodes of multiple sites	C77.9	top	0_0_0_16_7
254200009	Entire endometrial blood vessel	C54.1	top	0_0_0_10_3_1
254271007	Endometrial spiral arteriole	C54.1	top	0_0_0_10_3_1
254367006	Endometrial venule	C54.1	top	0_0_0_10_3_1
254507008	Entire submucous part of myometrium	C54.2	top	0_0_0_10_3_2
254584004	Entire intramural part of myometrium	C54.2	top	0_0_0_10_3_2
254660004	Entire subserous part of myometrium	C54.2	top	0_0_0_10_3_2
254752009	Entire myometrial blood vessel	C49.5	top	0_0_0_8_5
254834002	Entire interstitial tissue of uterus	C55.9	top	0_0_0_10_4_0
254907001	Entire cervical mucous membrane	C53.9	top	0_0_0_10_2_3
254991008	Entire cervical lamina propria	C53.9	top	0_0_0_10_2_3
255125003	Entire plica palmata	C53.0	top	0_0_0_10_2_0
255193000	Entire endocervical connective tissue	C53.0	top	0_0_0_10_2_0
255268008	Entire exocervical epithelial cell	C53.1	top	0_0_0_10_2_1
255336003	Entire exocervical connective tissue	C53.1	top	0_0_0_10_2_1
255413006	Entire decidua parietalis	C58.9	top	0_0_0_10_7_0
255416003	Entire capillary	C49.9	top	0_0_0_8_8
255498003	Entire decidua capsularis	C58.9	top	0_0_0_10_7_0
255571004	Little's area	C30.0	top	0_0_0_2_0_0
255574007	Entire coiled artery of decidua basalis	C58.9	top	0_0_0_10_7_0
255651000	Entire marginal venous sinus of placental attachment	C58.9	top	0_0_0_10_7_0
255719009	Entire Nitabuch layer	C58.9	top	0_0_0_10_7_0
255782009	Entire fetal uterus	C76.3	top	0_0_0_15_3
255851003	Entire collecting vein of border of placental attachment	C58.9	top	0_0_0_10_7_0
255944006	Entire uterine part of placenta	C58.9	top	0_0_0_10_7_0
256034004	Entire fetal part of placenta	C58.9	top	0_0_0_10_7_0
256119008	Entire immature chorionic villi	C58.9	top	0_0_0_10_7_0
256212006	Entire tertiary villus	C58.9	top	0_0_0_10_7_0
256296008	Entire mesenchymal villous core	C58.9	top	0_0_0_10_7_0
256391000	Entire chorionic plate	C58.9	top	0_0_0_10_7_0
256423008	Hair region structure	C44.9	top	0_0_0_5_9
256446005	Xenoderm	C44.9	top	0_0_0_5_9
256491001	Entire placental cotyledon	C58.9	top	0_0_0_10_7_0
256591004	Entire placental membrane	C58.9	top	0_0_0_10_7_0
256661003	Entire pectineal ligament	C49.5	top	0_0_0_8_5
256662005	Anterior rectus sheath	C49.4	top	0_0_0_8_4
256663000	Entire rectus fascia	C49.4	top	0_0_0_8_4
256664006	External oblique aponeurosis	C49.4	top	0_0_0_8_4
256667004	Entire tendon	C49.9	top	0_0_0_8_8
256671001	Entire abductor pollicis longus	C49.1	top	0_0_0_8_1
256672008	Entire rectus abdominis	C49.4	top	0_0_0_8_4
256680001	Entire vitelline blood vessel of placenta	C58.9	top	0_0_0_10_7_0
256682009	Entire buccal mucosa	C06.0	top	0_0_0_0_6_0
256779006	Vitelline artery of placenta	C58.9	top	0_0_0_10_7_0
256864008	Entire nerve	C47.9	top	0_0_0_6_8
256875007	Vitelline vein of placenta	C58.9	top	0_0_0_10_7_0
256876008	Entire intestine	C26.0	top	0_0_0_1_11_0
256880003	Entire periurethral tissue	C76.3	top	0_0_0_15_3
256893008	Entire pubic hair	C44.5	top	0_0_0_5_5
256924005	Entire beard	C76.0	top	0_0_0_15_0
256925006	Mustache	C76.0	top	0_0_0_15_0
256965005	Entire syncytio-trophoblast	C58.9	top	0_0_0_10_7_0
257169006	Entire placenta and membrane	C58.9	top	0_0_0_10_7_0
257252003	Entire intervillous space	C58.9	top	0_0_0_10_7_0
257341007	Entire chorion frondosum	C58.9	top	0_0_0_10_7_0
257421001	Entire placental fetal surface	C58.9	top	0_0_0_10_7_0
257515002	Entire placental maternal surface	C58.9	top	0_0_0_10_7_0
257587002	Entire placental site	C58.9	top	0_0_0_10_7_0
257682002	Entire chorion laeve	C58.9	top	0_0_0_10_7_0
257773004	Entire subchorionic space	C58.9	top	0_0_0_10_7_0
257860007	Entire exocelomic cavity	C55.9	top	0_0_0_10_4_0
257943001	Entire corpus luteum of ovary	C56.9	top	0_0_0_10_5_0
258043001	Entire corpus albicans of ovary	C56.9	top	0_0_0_10_5_0
258132006	Entire corpus fibrosum of ovary	C76.7	top	0_0_0_15_6
258222009	Entire hilum of ovary	C56.9	top	0_0_0_10_5_0
258308007	Entire germinal epithelium of ovary	C56.9	top	0_0_0_10_5_0
258335003	Entire brain	C71.9	top	0_0_0_13_2_9
258409003	Entire tunica albuginea of ovary	C56.9	top	0_0_0_10_5_0
258491008	Entire capsule of ovary	C56.9	top	0_0_0_10_5_0
258586009	Entire cumulus oophorus	C56.9	top	0_0_0_10_5_0
258665002	Entire primary ovarian follicle	C56.9	top	0_0_0_10_5_0
258767003	Entire tunica externa of theca folliculi	C49.9	top	0_0_0_8_8
258869006	Entire tunica interna of theca folliculi	C56.9	top	0_0_0_10_5_0
258971005	Entire stratum granulosum of ovarian follicle	C56.9	top	0_0_0_10_5_0
259073003	Entire atretic follicle of ovary	C56.9	top	0_0_0_10_5_0
259261007	Entire rete ovarii	C56.9	top	0_0_0_10_5_0
259306002	Entire interstitial tissue of ovary	C56.9	top	0_0_0_10_5_0
259343000	Left ovarian vein	C49.4	top	0_0_0_8_4
259368003	Right ovarian vein	C49.4	top	0_0_0_8_4
259422002	Entire uterine tubal epithelium	C57.0	top	0_0_0_10_6_0
259488000	Entire uterine tubal muscularis	C57.0	top	0_0_0_10_6_0
259539003	Entire uterine tubal subserosa	C57.0	top	0_0_0_10_6_0
259593000	Entire uterine tubal serosa	C57.0	top	0_0_0_10_6_0
259642001	Entire uterine tubal plicae	C57.0	top	0_0_0_10_6_0
259687002	Entire transverse fold of rectum	C20.9	top	0_0_0_1_5_0
259740004	Entire rectal lumen	C20.9	top	0_0_0_1_5_0
259763009	Entire perirectal tissue	C76.3	top	0_0_0_15_3
259797002	Entire supporting tissue of rectum	C49.5	top	0_0_0_8_5
259850007	Entire superior fascia of pelvic diaphragm	C49.5	top	0_0_0_8_5
259890005	Entire inferior fascia of pelvic diaphragm	C49.5	top	0_0_0_8_5
259945002	Entire prostatic fascia	C49.5	top	0_0_0_8_5
259982006	Entire parietal fascia of pelvis	C49.5	top	0_0_0_8_5
260038005	Entire visceral fascia of pelvis	C49.5	top	0_0_0_8_5
260101007	Entire gastropancreatic folds	C49.4	top	0_0_0_8_4
260187009	Entire superior duodenal fold	C49.4	top	0_0_0_8_4
260264006	Entire inferior duodenal fold	C49.4	top	0_0_0_8_4
260363003	Entire paraduodenal fold	C49.4	top	0_0_0_8_4
260449008	Entire duodenal fold	C49.4	top	0_0_0_8_4
260539007	Entire gastrocolic ligament	C49.4	top	0_0_0_8_4
260616009	Entire infratemporal fossa	C76.0	top	0_0_0_15_0
260636005	Entire gastrosplenic ligament	C49.4	top	0_0_0_8_4
260725009	Entire gastrophrenic ligament	C49.4	top	0_0_0_8_4
260825001	Entire gastrohepatic ligament	C49.4	top	0_0_0_8_4
260927008	Entire phrenicocolic ligament	C49.4	top	0_0_0_8_4
261022006	Entire splenorenal ligament	C49.4	top	0_0_0_8_4
261048003	Entire anterior mediastinum	C38.1	top	0_0_0_2_6_1
261050006	Entire anterosuperior tricuspid leaflet	C38.0	top	0_0_0_2_6_0
261053008	Appendicular region	C48.2	top	0_0_0_7_2
261060002	Entire body surface region	C76.7	top	0_0_0_15_6
