SNOMED code	SNOMED descriptor	ICD-O code	topography	filter_code
78791008	Right hand	C76.4	top	0_0_0_15_4
78816006	Tuberosity of distal phalanx of thumb	C40.1	top	0_0_0_3_0_1
78835006	Midshaft of humerus	C40.0	top	0_0_0_3_0_0
78838008	Pleomorphic xanthoastrocytoma	9424/3	hist	0_0_1_35_24
78847000	Base of phalanx of third toe	C40.3	top	0_0_0_3_0_3
78883009	Hallux	C76.5	top	0_0_0_15_5
78904004	Chest wall	C76.1	top	0_0_0_15_1
78926003	Middle third of shaft of bone	C41.9	top	0_0_0_3_1_6
78928002	Cruciate ligament of knee joint	C49.2	top	0_0_0_8_2
78942005	Periappendiceal tissue	C76.2	top	0_0_0_15_2
78954005	Hair of extremity	C44.9	top	0_0_0_5_9
78961009	Spleen	C42.2	top	0_0_0_4_2
78972004	Pedicle of vertebra	C41.2	top	0_0_0_3_1_2
78976001	Cerebral medial surface	C71.0	top	0_0_0_13_2_0
78982003	Tubercle of twelfth rib	C41.3	top	0_0_0_3_1_3
78985001	Dorsal branch of spinal nerve of cauda equina	C72.1	top	0_0_0_13_3_1
78995008	Entire medial branch of posterior choroidal artery	C49.0	top	0_0_0_8_0
79020004	Temporopontine fibres	C71.0	top	0_0_0_13_2_0
79041005	Acinar adenoma	8550/0	hist	0_0_1_10_0
79057005	Entire right bronchial lumen	C34.0	top	0_0_0_2_4_0
79075006	Lamina muscularis of mucous membrane of hypopharynx	C13.9	top	0_0_0_0_13_4
79081003	Skin of dorsal surface of third toe	C44.7	top	0_0_0_5_7
79087004	Greater supraclavicular fossa	C76.0	top	0_0_0_15_0
79112004	Back muscle	C49.6	top	0_0_0_8_6
79131005	Entire upper border of tenth rib	C41.3	top	0_0_0_3_1_3
79142001	Suprapulmonic valve area	C49.3	top	0_0_0_8_3
79143006	Mucinous cystadenocarcinoma	8470/3	hist	0_0_1_8_19
79163004	Left lobe of thyroid gland	C73.9	top	0_0_0_14_0_0
79201006	Rectus capitis posterior major	C49.0	top	0_0_0_8_0
79208000	Glandular branch of facial artery	C49.0	top	0_0_0_8_0
79223005	T7 dorsal arch	C41.2	top	0_0_0_3_1_2
79234008	Ostium of superior vena cava	C38.0	top	0_0_0_2_6_0
79275001	Subcutaneous tissue of lower lip	C49.0	top	0_0_0_8_0
79281009	Isthmus of fallopian tube	C57.0	top	0_0_0_10_6_0
79282002	Secondary carcinoma	8010/6	hist	0_0_1_1_3
79283007	Skin of tip of nose	C44.3	top	0_0_0_5_3
79313003	Skin of helix	C44.2	top	0_0_0_5_2
79317002	Tendon and tendon sheath of hip	C49.2	top	0_0_0_8_2
79335006	Pedicle of seventh cervical vertebra	C41.2	top	0_0_0_3_1_2
79349002	Levator ani muscle	C49.5	top	0_0_0_8_5
79361005	Fontanel of skull	C41.0	top	0_0_0_3_1_0
79368004	Masseter muscle	C49.0	top	0_0_0_8_0
79379009	Anterior labial branch of external pudendal artery	C49.2	top	0_0_0_8_2
79383009	Tuberal nuclei of hypothalamus	C71.0	top	0_0_0_13_2_0
79384003	Pubic tubercle	C41.4	top	0_0_0_3_1_4
79390004	Cranial articular process of first lumbar vertebra	C41.2	top	0_0_0_3_1_2
79393002	Conoid ligament	C49.1	top	0_0_0_8_1
79397001	Intervertebral disc space of fourth lumbar vertebra	C41.2	top	0_0_0_3_1_2
79402002	Subcutaneous tissue of fifth toe	C49.2	top	0_0_0_8_2
79421005	Anulus fibrosus of intervertebral disc of eleventh thoracic vertebra	C41.2	top	0_0_0_3_1_2
79426000	Immature chorionic villi	C58.9	top	0_0_0_10_7_0
79430002	Anterior rugal column	C52.9	top	0_0_0_10_1_0
79452006	Tuberosity of distal phalanx of ring finger	C40.1	top	0_0_0_3_0_1
79456009	Roof of acetabulum	C41.4	top	0_0_0_3_1_4
79460007	White matter of frontal lobe	C71.1	top	0_0_0_13_2_1
79490000	Flexor digitorum brevis muscle of foot	C49.2	top	0_0_0_8_2
79494009	Microcystic adenoma	8202/0	hist	0_0_1_5_48
79495005	Nucleus anteromedialis	C71.0	top	0_0_0_13_2_0
79502000	Skin of tragus	C44.2	top	0_0_0_5_2
79503005	Entire parietotemporal branch of middle cerebral artery	C49.0	top	0_0_0_8_0
79512007	Cardiac notch of left lung	C34.1	top	0_0_0_2_4_1
79535005	Left frontal sinus	C31.2	top	0_0_0_2_1_2
79559000	Supratrochlear artery	C49.0	top	0_0_0_8_0
79561009	Right side of heart	C38.0	top	0_0_0_2_6_0
79562002	Intraarticular ligament of knee joint	C49.2	top	0_0_0_8_2
79582003	Anterior branch of superior thyroid artery	C49.0	top	0_0_0_8_0
79601000	Scapula	C40.0	top	0_0_0_3_0_0
79629002	Subcutaneous tissue of fourth toe	C49.2	top	0_0_0_8_2
79652003	Internal structure of eyeball	C69.4	top	0_0_0_13_0_4
79677002	Cervical spinal cord nerve root	C72.0	top	0_0_0_13_3_0
79683004	Common plantar digital nerves	C47.2	top	0_0_0_6_2
79684005	Entire anterior tibial lymph node	C77.4	top	0_0_0_16_4
79715007	Entire outer surface of first rib	C41.3	top	0_0_0_3_1_3
79718009	Right carotid sinus	C49.0	top	0_0_0_8_0
79727005	Opponens pollicis muscle	C49.1	top	0_0_0_8_1
79731004	Deep flexor tendon of thumb	C49.1	top	0_0_0_8_1
79732006	Articular surface, interphalangeal, of phalanx of second toe	C40.3	top	0_0_0_3_0_3
79741001	Common bile duct	C24.0	top	0_0_0_1_9_0
79747002	Humeral head of flexor carpi ulnaris muscle	C49.1	top	0_0_0_8_1
79768001	Ball of foot	C76.5	top	0_0_0_15_5
79783006	Lateral preoptic nucleus	C71.0	top	0_0_0_13_2_0
79785004	Pedicle of lumbar vertebra	C41.2	top	0_0_0_3_1_2
79797003	Anterior margin of lung	C34.9	top	0_0_0_2_4_5
79799000	Articular surface, metatarsal, of phalanx of second toe	C40.3	top	0_0_0_3_0_3
79802009	Breast lobule	C50.9	top	0_0_0_9_8
